Pays,Ligue,Numéro de Pari,Date du Match,Heure de Fin de Validité,Equipe Domicile,Equipe Extérieure,Cote Domicile,Cote Nul,Cote Extérieur
France,l1-mcdonald-s,100,07/03,20h40,Toulouse,Monaco,"3,25","3,65","2,05"
France,l1-mcdonald-s,103,08/03,16h55,Rennes,Paris SG,"5,80","3,90","1,53"
France,l1-mcdonald-s,104,08/03,18h55,Lille,Montpellier,"1,37","4,85","6,80"
France,l1-mcdonald-s,108,08/03,21h00,Marseille,Lens,"1,57","4,30","5,30"
France,l1-mcdonald-s,109,09/03,14h55,Brest,Angers,"1,75","3,50","4,25"
France,l1-mcdonald-s,110,09/03,17h10,Le Havre,St Etienne,"2,25","3,35","2,85"
France,l1-mcdonald-s,111,09/03,17h10,Nantes,Strasbourg,"2,40","3,25","2,70"
France,l1-mcdonald-s,112,09/03,17h10,Reims,Auxerre,"2,30","3,25","2,80"
France,l1-mcdonald-s,116,09/03,20h40,Nice,Lyon,"1,99","3,60","3,35"
France,l1-mcdonald-s,7,16/03,20h40,Paris SG,Marseille,"1,41","4,80","5,30"
Italie,serie-a,133,07/03,20h40,Cagliari,Genoa,"2,30","3,05","3,10"
Italie,serie-a,136,08/03,14h55,Como 1907,Venezia FC,"1,54","3,80","5,80"
Italie,serie-a,137,08/03,14h55,Parme,Torino,"2,85","3,20","2,35"
Italie,serie-a,138,08/03,17h55,Lecce,Milan AC,"4,55","3,75","1,67"
Italie,serie-a,139,08/03,20h40,Inter Milan,AC Monza,"1,09","8,55","20,2"
Italie,serie-a,140,09/03,12h25,Hellas Vérone,Bologne,"4,50","3,35","1,75"
Italie,serie-a,141,09/03,14h55,Naples,Fiorentina,"1,55","3,75","5,50"
Italie,serie-a,142,09/03,17h55,Empoli,AS Rome,"3,55","3,35","1,95"
Italie,serie-a,143,09/03,20h40,Juventus Turin,Atalanta,"2,30","3,20","2,90"
Italie,serie-a,144,10/03,20h40,Lazio Rome,Udinese,"1,66","3,60","4,75"
Espagne,laliga,119,08/03,13h55,Celta Vigo,CD Leganes,"1,55","3,90","5,90"
Espagne,laliga,120,08/03,16h10,Alaves,Villarreal,"3,00","3,25","2,35"
Espagne,laliga,121,08/03,18h25,CF Valence,Valladolid,"1,34","4,65","9,20"
Espagne,laliga,122,08/03,20h55,FC Barcelone,Osasuna,"1,17","7,80","11,5"
Espagne,laliga,125,09/03,13h55,Getafe,Atl. Madrid,"4,15","3,00","1,98"
Espagne,laliga,127,09/03,16h10,Real Madrid,Rayo Vallecano,"1,24","6,00","9,70"
Espagne,laliga,129,09/03,18h25,Ath. Bilbao,Majorque,"1,54","3,70","5,90"
Espagne,laliga,130,09/03,18h25,Betis Séville,Las Palmas,"1,40","4,55","6,70"
Espagne,laliga,131,09/03,20h55,Real Sociedad,FC Séville,"2,05","3,15","3,65"
Espagne,laliga,132,10/03,20h55,Espanyol,Gérone,"3,10","3,15","2,20"
Allemagne,bundesliga-1,145,07/03,20h25,M'Gladbach,Mayence,"2,50","3,40","2,70"
Allemagne,bundesliga-1,149,08/03,15h25,Dortmund,Augsburg,"1,45","4,45","5,90"
Allemagne,bundesliga-1,150,08/03,15h25,Holstein Kiel,Stuttgart,"5,50","4,75","1,45"
Allemagne,bundesliga-1,148,08/03,15h25,Bayern Munich,Bochum,"1,09","9,20","16,7"
Allemagne,bundesliga-1,151,08/03,15h25,Leverkusen,Werder Brême,"1,20","6,20","10,70"
Allemagne,bundesliga-1,152,08/03,15h25,Wolfsburg,St Pauli,"1,69","3,65","4,60"
Allemagne,bundesliga-1,153,08/03,18h25,Fribourg,RB Leipzig,"2,50","3,35","2,60"
Allemagne,bundesliga-1,154,09/03,15h25,Ein.Francfort,Union Berlin,"1,61","4,00","4,55"
Allemagne,bundesliga-1,158,09/03,17h25,Hoffenheim,FC Heidenheim,"1,72","3,90","3,95"
Angleterre,premier-league,178,08/03,13h25,Nottingham F.,Man. City,"3,65","3,70","1,86"
Angleterre,premier-league,179,08/03,15h55,Brighton Hove,Fulham,"1,94","3,55","3,50"
Angleterre,premier-league,180,08/03,15h55,Crystal Palace,Ipswich,"1,43","4,45","6,20"
Angleterre,premier-league,181,08/03,15h55,Liverpool,Southampton,"1,07","10,30","18,2"
Angleterre,premier-league,182,08/03,18h25,Brentford,Aston Villa,"2,10","3,85","2,85"
Angleterre,premier-league,183,08/03,20h55,Wolverhampton,Everton,"2,45","3,15","2,80"
Angleterre,premier-league,184,09/03,14h55,Chelsea,Leicester,"1,17","7,00","10,20"
Angleterre,premier-league,185,09/03,14h55,Tottenham,Bournemouth,"2,25","3,75","2,60"
Angleterre,premier-league,186,09/03,17h25,Man. United,Arsenal,"4,55","3,50","1,70"
Angleterre,premier-league,187,10/03,20h55,West Ham,Newcastle,"3,00","3,40","2,10"
